customer_id,loan_amount,credit_score,late_payments,default_history,risk_score,risk_level
27205,14038,327,1,0,21,Low
19588,13575,522,3,0,31,Low
22437,18037,655,0,0,38,Low
21743,15968,686,3,0,33,Low
22232,14098,371,1,0,65,Medium
24222,9595,636,3,0,86,High
22757,14074,626,1,0,87,High
14440,5573,756,3,0,54,Medium
19826,24947,800,5,0,89,High
28029,7077,650,4,0,11,Low
18804,15364,411,1,0,2,Low
27776,12650,848,1,0,33,Low
17290,14364,447,3,1,95,High
11743,15518,690,1,1,79,Medium
18593,9778,329,1,0,2,Low
22396,18276,566,5,0,9,Low
13889,19114,589,2,0,52,Medium
28430,13619,411,2,0,68,Medium
16068,17920,748,6,0,99,High
28510,23694,789,4,1,63,Medium
27150,17018,795,1,0,94,High
12691,16916,347,3,0,5,Low
14273,6680,703,2,0,32,Low
24391,19103,403,2,1,45,Low
21588,13356,694,0,0,45,Low
24390,19166,525,1,0,67,Medium
17919,16141,672,1,0,30,Low
12617,8709,779,2,0,73,Medium
25139,13658,833,2,0,53,Medium
23068,20640,313,1,0,29,Low
12907,30213,613,0,0,82,High
20296,10512,686,4,0,59,Medium
21033,7438,574,3,0,80,Medium
15430,14811,793,0,0,65,Medium
27942,16242,438,0,0,18,Low
11892,17885,400,5,0,44,Low
28585,20028,814,3,0,23,Low
24963,17256,460,0,0,92,High
19802,11164,761,0,0,92,High
20828,16787,790,5,0,92,High
19202,9146,842,1,0,22,Low
26220,7567,635,3,0,30,Low
17827,21052,372,2,0,67,Medium
29039,20078,368,1,0,4,Low
23270,4438,381,0,0,45,Low
15371,20953,519,3,0,2,Low
21336,15755,382,4,0,75,Medium
22255,20177,438,6,0,11,Low
28051,6569,759,2,1,42,Low
16449,11891,446,1,0,26,Low
27193,11474,640,1,0,57,Medium
11519,13918,780,4,0,9,Low
29081,15465,374,2,0,5,Low
13055,4029,462,5,0,45,Low
17370,12269,432,3,0,12,Low
18001,12505,516,4,0,3,Low
10219,11728,758,3,0,13,Low
14797,13500,385,1,0,40,Low
15671,26406,689,3,0,9,Low
10993,14420,787,0,0,49,Low
25910,6980,300,4,0,76,Medium
10523,18224,729,2,1,49,Low
25334,19425,568,2,0,75,Medium
17421,18433,738,4,0,9,Low
29539,11310,446,2,0,88,High
14259,20594,385,1,0,26,Low
11701,17837,584,2,0,74,Medium
29374,18832,393,2,0,27,Low
12994,17247,306,0,0,85,High
24508,19842,648,4,0,98,High
17315,15516,689,5,0,78,Medium
21949,16842,565,2,0,10,Low
21703,13049,369,4,0,90,High
11920,12941,369,2,1,98,High
20299,23398,446,6,0,82,High
17347,12345,838,4,0,66,Medium
