claim_id,customer_id,incident_date,claim_amount,claim_status,claim_type
50000,20974,2022-11-24 06:24:49,6279,Rejected,Accident
50001,26144,2021-10-27 23:33:12,7098,Rejected,Other
50002,28703,2021-04-22 07:07:11,6232,Rejected,Natural Disaster
50003,24691,2024-08-29 05:35:08,7189,Rejected,Natural Disaster
50004,24761,2022-02-26 02:41:13,8073,Approved,Accident
50005,23285,2018-06-30 16:05:52,6091,Under Review,Other
50006,10001,2020-05-04 07:26:35,8649,Rejected,Other
50007,23348,2018-07-09 09:58:51,15951,Rejected,Other
50008,11058,2020-05-08 23:13:43,7834,Rejected,Theft
50009,20803,2018-03-28 13:04:58,1823,Under Review,Other
50010,11906,2017-05-21 16:29:52,6315,Approved,Theft
50011,20301,2023-01-07 09:28:14,5182,Approved,Other
50012,23257,2017-12-26 23:51:57,3514,Approved,Theft
50013,23956,2019-03-30 06:16:03,5515,Under Review,Theft
50014,27589,2020-09-08 16:00:40,8709,Under Review,Theft
50015,29179,2018-10-02 22:29:15,5834,Approved,Other
50016,26572,2024-12-01 01:55:34,7602,Approved,Accident
50017,14295,2020-03-02 14:17:27,4837,Rejected,Theft
50018,21632,2021-12-13 09:45:01,10441,Under Review,Theft
50019,20355,2022-04-22 11:08:26,5249,Approved,Other
50020,26743,2019-09-12 11:55:38,7916,Under Review,Accident
50021,28072,2019-06-27 13:39:12,6648,Rejected,Accident
50022,10341,2024-11-13 12:23:40,8664,Under Review,Accident
50023,16923,2018-06-02 19:09:42,9916,Rejected,Other
50024,11744,2017-07-28 11:24:00,9853,Under Review,Natural Disaster
50025,27402,2018-01-28 23:53:59,3252,Approved,Natural Disaster
50026,11251,2022-02-04 19:35:05,10503,Rejected,Other
50027,22859,2022-06-19 00:00:33,6433,Under Review,Accident
50028,22174,2019-12-05 10:26:00,6492,Rejected,Natural Disaster
50029,23789,2024-02-19 05:34:49,7053,Rejected,Accident
50030,18337,2020-07-13 12:49:06,8434,Under Review,Natural Disaster
50031,14698,2023-03-12 16:37:50,5494,Approved,Natural Disaster
50032,29765,2017-07-14 02:03:34,2765,Under Review,Other
50033,29082,2017-02-17 11:09:26,4825,Approved,Accident
50034,29319,2018-06-13 18:22:35,8282,Approved,Natural Disaster
50035,15442,2024-05-03 22:25:16,4458,Rejected,Accident
50036,19380,2018-12-25 03:29:29,3044,Approved,Other
50037,14376,2022-04-17 20:43:11,7429,Rejected,Natural Disaster
50038,24085,2017-07-01 08:02:43,2372,Under Review,Natural Disaster
50039,27506,2021-07-14 12:29:03,8090,Approved,Accident
50040,15445,2024-01-25 00:50:45,4304,Rejected,Other
50041,27698,2017-04-29 06:14:09,4510,Approved,Other
50042,27208,2018-08-22 11:35:02,10214,Under Review,Theft
50043,28557,2018-08-01 02:01:34,10276,Rejected,Theft
50044,19658,2023-10-16 03:58:55,7896,Under Review,Other
50045,11769,2018-06-05 05:33:19,7426,Approved,Other
50046,21931,2020-06-15 18:49:35,7074,Rejected,Natural Disaster
50047,19611,2020-12-29 09:35:59,2768,Rejected,Natural Disaster
50048,12166,2020-01-03 19:50:57,1697,Under Review,Natural Disaster
50049,14816,2024-07-02 23:58:38,7467,Approved,Accident
50050,26748,2020-08-02 03:29:41,14431,Approved,Theft
50051,23033,2017-07-15 18:34:08,4018,Approved,Accident
50052,22368,2018-07-13 01:52:11,5125,Approved,Accident
50053,22367,2023-06-09 12:27:17,7704,Approved,Theft
50054,14592,2017-06-24 02:30:26,3613,Approved,Other
50055,12538,2017-08-20 21:48:51,149,Under Review,Accident
50056,28052,2019-10-08 23:09:56,9507,Under Review,Accident
50057,22252,2020-08-12 13:04:12,9496,Approved,Other
50058,19502,2021-02-08 12:19:03,2479,Approved,Other
50059,10312,2024-05-17 00:44:41,3673,Rejected,Natural Disaster
50060,26491,2018-11-07 17:28:09,6230,Approved,Accident
50061,13213,2020-04-02 09:27:44,5600,Rejected,Natural Disaster
50062,26309,2023-07-09 01:07:02,12197,Approved,Other
50063,16326,2017-09-14 04:00:16,7470,Approved,Theft
50064,10266,2018-02-10 06:51:19,7593,Approved,Theft
50065,27524,2019-12-03 15:46:59,6164,Under Review,Accident
50066,23532,2019-04-11 18:38:16,7457,Rejected,Natural Disaster
50067,16306,2021-02-03 11:44:56,7129,Under Review,Natural Disaster
50068,17344,2019-06-21 12:51:21,6544,Under Review,Accident
50069,14523,2020-06-05 02:57:07,7017,Approved,Accident
50070,22955,2020-11-05 01:13:49,9282,Under Review,Accident
50071,10365,2020-12-31 04:13:59,1200,Rejected,Natural Disaster
50072,17127,2019-05-11 13:35:52,9475,Rejected,Other
50073,16720,2021-12-19 19:13:09,8055,Approved,Accident
50074,26504,2023-04-17 08:08:10,5695,Approved,Natural Disaster
50075,20269,2019-02-09 16:15:16,8533,Rejected,Natural Disaster
50076,11479,2017-06-30 13:58:40,5485,Rejected,Accident
50077,18655,2022-11-27 00:33:10,3286,Under Review,Accident
50078,24536,2018-08-22 00:59:03,807,Under Review,Theft
50079,19079,2019-01-04 19:12:12,9885,Approved,Natural Disaster
50080,26349,2024-09-16 08:03:01,7933,Approved,Theft
50081,15027,2024-04-23 18:57:18,6286,Under Review,Other
50082,22378,2022-05-03 06:42:54,5579,Rejected,Theft
50083,12241,2018-04-08 07:28:01,7233,Approved,Accident
50084,26463,2020-12-23 10:31:15,11304,Rejected,Other
50085,17277,2020-07-15 12:54:40,12821,Approved,Natural Disaster
50086,13602,2020-02-08 06:30:19,3367,Under Review,Accident
50087,27379,2021-11-17 15:27:40,-507,Under Review,Natural Disaster
50088,15990,2020-08-16 03:38:37,10207,Approved,Accident
50089,19578,2020-03-30 00:03:59,9490,Under Review,Other
50090,27872,2024-12-11 12:05:50,4798,Approved,Accident
50091,12701,2018-07-14 09:47:48,4377,Rejected,Accident
50092,21093,2019-06-19 04:02:49,971,Rejected,Accident
50093,26123,2018-08-16 21:57:42,7366,Rejected,Other
50094,26168,2019-05-13 13:47:51,7719,Rejected,Accident
50095,18882,2022-05-19 05:14:58,4808,Rejected,Accident
50096,21602,2018-04-04 11:19:53,1912,Rejected,Accident
50097,28321,2018-03-20 13:45:44,9637,Rejected,Natural Disaster
50098,18500,2023-07-26 02:27:37,8007,Rejected,Theft
50099,24171,2024-12-27 18:44:40,8453,Approved,Natural Disaster
50100,14034,2019-09-25 08:41:48,12123,Approved,Natural Disaster
50101,23053,2024-09-28 18:49:40,482,Rejected,Theft
50102,27306,2017-06-28 23:08:37,6732,Under Review,Accident
50103,28567,2023-11-30 23:34:25,3778,Approved,Other
50104,17931,2023-03-24 17:42:56,7182,Rejected,Natural Disaster
50105,17547,2020-12-16 12:57:47,8722,Rejected,Theft
50106,27526,2021-01-29 04:34:54,13120,Rejected,Accident
50107,13286,2018-12-28 10:31:56,4820,Rejected,Accident
50108,25930,2017-10-16 10:01:05,8406,Rejected,Other
50109,10934,2017-04-17 17:08:10,7763,Approved,Theft
50110,28601,2021-07-31 16:12:23,5050,Approved,Other
50111,26235,2024-08-21 14:57:53,3603,Approved,Natural Disaster
50112,22476,2017-07-10 23:38:36,10156,Under Review,Natural Disaster
50113,24798,2022-03-11 04:37:39,5951,Approved,Accident
50114,28162,2020-08-02 11:42:49,5660,Approved,Theft
50115,27927,2024-04-27 21:03:17,9916,Under Review,Accident
50116,24795,2018-06-27 15:10:20,2673,Rejected,Accident
50117,15385,2019-06-22 17:36:27,5782,Rejected,Natural Disaster
50118,23629,2020-12-22 16:54:56,6901,Under Review,Theft
50119,20851,2022-02-06 15:27:57,10962,Rejected,Theft
50120,27076,2022-03-04 21:19:34,7033,Approved,Accident
50121,18576,2024-05-29 02:15:29,5954,Under Review,Other
50122,11401,2020-03-11 01:37:21,4587,Under Review,Theft
50123,19001,2018-07-30 00:01:18,6388,Rejected,Natural Disaster
50124,18366,2022-03-26 04:12:22,7717,Under Review,Theft
50125,19010,2024-12-21 20:07:35,6722,Under Review,Theft
50126,18106,2022-01-22 00:53:08,8897,Approved,Accident
50127,10590,2019-10-08 11:03:06,8831,Under Review,Accident
50128,22687,2018-05-10 22:12:08,6227,Approved,Other
50129,26315,2018-06-15 14:56:14,11818,Under Review,Other
50130,12085,2022-05-24 07:15:03,8530,Approved,Theft
50131,16920,2022-02-09 15:23:12,7501,Under Review,Other
50132,29403,2018-02-01 18:32:04,3990,Rejected,Other
50133,11437,2020-11-28 09:51:39,8957,Approved,Natural Disaster
50134,18777,2023-06-16 14:27:16,6388,Approved,Accident
50135,12772,2024-08-07 14:22:35,4461,Rejected,Accident
50136,23085,2023-05-28 18:38:11,9974,Approved,Natural Disaster
50137,21497,2018-04-10 15:02:41,10698,Approved,Accident
50138,17211,2018-06-26 03:56:50,5409,Rejected,Other
50139,12638,2021-10-23 20:29:02,5246,Approved,Other
50140,20537,2022-06-29 17:43:45,3311,Approved,Other
50141,27596,2019-09-01 16:12:48,9006,Rejected,Natural Disaster
50142,21800,2019-09-18 03:44:35,3817,Under Review,Other
50143,13887,2018-02-23 01:50:44,13426,Under Review,Theft
50144,20092,2024-09-28 00:02:37,5375,Under Review,Natural Disaster
50145,10567,2022-07-02 12:09:58,7051,Rejected,Natural Disaster
50146,24584,2021-10-24 05:33:08,4699,Approved,Other
50147,25858,2023-02-11 18:26:59,8411,Under Review,Other
50148,11530,2019-08-08 21:08:15,12258,Under Review,Other
50149,18489,2022-08-12 05:47:07,6890,Rejected,Theft
50150,12570,2021-11-15 22:18:41,8898,Under Review,Other
50151,10947,2020-03-03 18:50:41,7689,Under Review,Other
50152,20494,2020-08-01 23:03:01,5405,Approved,Accident
50153,24879,2018-06-13 18:39:00,5717,Under Review,Natural Disaster
50154,22638,2024-12-04 10:23:19,2314,Approved,Theft
50155,21915,2024-11-07 04:19:58,4105,Under Review,Natural Disaster
50156,27465,2019-01-23 19:05:25,5585,Approved,Natural Disaster
50157,29686,2021-04-30 10:44:55,5951,Under Review,Natural Disaster
50158,22188,2023-06-06 02:49:51,2841,Approved,Theft
50159,19273,2021-12-16 06:18:10,6566,Approved,Theft
50160,15456,2019-04-13 09:39:11,9903,Rejected,Natural Disaster
50161,28343,2020-04-27 15:52:23,5266,Approved,Other
50162,19110,2023-08-28 21:53:19,9271,Rejected,Natural Disaster
50163,26864,2024-11-20 17:39:15,11627,Under Review,Theft
50164,10806,2020-03-08 17:52:55,1728,Approved,Natural Disaster
50165,15507,2019-11-06 02:17:03,9530,Approved,Other
50166,16368,2020-03-31 23:47:39,7531,Approved,Natural Disaster
50167,27670,2020-07-17 19:42:25,2733,Rejected,Theft
50168,12952,2021-05-13 18:50:06,5608,Approved,Accident
50169,11672,2022-11-17 05:03:52,6352,Rejected,Natural Disaster
50170,14356,2023-11-19 22:21:03,6120,Rejected,Theft
50171,13991,2019-05-13 01:25:42,9684,Rejected,Other
50172,12784,2021-08-19 07:45:50,4409,Under Review,Natural Disaster
50173,12257,2018-11-01 10:58:19,10926,Rejected,Natural Disaster
50174,26223,2020-10-11 18:36:31,6314,Rejected,Other
50175,16883,2024-06-04 00:25:13,9954,Rejected,Other
50176,12564,2019-06-23 08:01:49,10863,Approved,Theft
50177,21494,2022-09-20 05:02:35,10292,Under Review,Accident
50178,20748,2020-06-11 23:28:28,5318,Rejected,Accident
50179,16044,2024-08-02 07:14:51,10297,Approved,Theft
50180,13837,2018-12-19 18:44:13,4814,Under Review,Theft
50181,17740,2021-03-13 16:21:48,4816,Rejected,Accident
50182,21388,2023-11-06 17:51:25,7862,Rejected,Other
50183,11709,2023-07-21 19:20:35,3696,Rejected,Theft
50184,10868,2021-12-26 03:46:13,11956,Under Review,Other
50185,18773,2020-09-11 17:03:41,6965,Approved,Accident
50186,25861,2019-09-30 16:36:23,6190,Approved,Theft
50187,10090,2020-02-04 06:51:12,9634,Rejected,Accident
50188,16305,2023-01-28 06:07:11,9629,Approved,Accident
50189,13184,2024-11-11 02:14:58,6264,Approved,Theft
50190,26806,2023-10-09 09:25:19,1919,Approved,Accident
50191,23082,2017-06-04 10:58:20,975,Approved,Natural Disaster
50192,16231,2017-11-14 08:31:14,2945,Rejected,Accident
50193,21822,2020-11-14 23:42:59,12121,Rejected,Accident
50194,20566,2022-10-21 19:35:35,8350,Rejected,Theft
50195,28602,2022-09-15 02:22:13,4777,Approved,Natural Disaster
50196,11141,2021-02-09 06:10:03,4337,Approved,Theft
50197,27337,2017-01-29 20:46:03,5553,Approved,Other
50198,28602,2024-03-10 19:31:47,7648,Approved,Accident
50199,11764,2023-02-24 13:11:35,7571,Approved,Theft
50200,13922,2021-08-12 02:17:16,11384,Under Review,Natural Disaster
50201,10017,2024-01-21 16:18:40,5882,Approved,Accident
50202,13245,2024-01-01 17:00:59,5761,Rejected,Theft
50203,20267,2022-01-21 04:15:15,11217,Rejected,Theft
50204,11683,2023-06-19 15:28:23,5748,Approved,Natural Disaster
50205,13469,2023-04-12 04:25:48,8330,Approved,Natural Disaster
